28/11/2023 09:00,Chesterfield,Janet Singleton,"Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured iced latte - Caramel - 3.25, Large Flavoured iced latte - Vanilla - 3.25",9.25,CARD,1122819395702095
28/11/2023 09:02,Chesterfield,Shirley Johnson,Regular Flavoured latte - Hazelnut - 2.55,2.55,CARD,4770563647180275
28/11/2023 09:04,Chesterfield,Jeanette Millsap,"Regular Flat white - 2.15, Large Flat white - 2.45",4.6,CARD,4733670953093127
28/11/2023 09:06,Chesterfield,John Dart,Regular Flavoured iced latte - Caramel - 2.75,2.75,CARD,3265411206625573
28/11/2023 09:08,Chesterfield,Joe Martin,"Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured latte - Hazelnut - 2.85, Regular Flavoured iced latte - Vanilla - 2.75, Large Flavoured iced latte - Hazelnut - 3.25",11.4,CARD,9181589709300290
28/11/2023 09:10,Chesterfield,Julie Chestnut,Large Flavoured latte - Hazelnut - 2.85,2.85,CARD,2969721726069209
28/11/2023 09:12,Chesterfield,Daniel Hermanson,"Regular Flat white - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75",4.9,CARD,9200006437558983
28/11/2023 09:14,Chesterfield,Janet Chevalier,"Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured iced latte - Vanilla - 2.75, Large Flavoured iced latte - Hazelnut - 3.25, Large Flavoured iced latte - Caramel - 3.25, Regular Latte - 2.15",14.65,CARD,6502837925769779
28/11/2023 09:17,Chesterfield,Ola Kanas,"Regular Flat white - 2.15, Large Flavoured latte - Hazelnut - 2.85, Large Flavoured iced latte - Vanilla - 3.25",8.25,CASH,
28/11/2023 09:19,Chesterfield,Jacob George,"Regular Flat white - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75, Large Latte - 2.45, Large Flat white - 2.45",9.8,CARD,3261329935069496
28/11/2023 09:21,Chesterfield,Jo Samayoa,"Regular Flavoured latte - Hazelnut - 2.55, Regular Flat white - 2.15, Large Flavoured iced latte - Vanilla - 3.25",7.95,CARD,2534544848996173
28/11/2023 09:23,Chesterfield,Michael Rudder,Regular Flavoured latte - Hazelnut - 2.55,2.55,CARD,5821235983797210
28/11/2023 09:25,Chesterfield,Blanche Teixeira,"Large Flat white - 2.45, Large Flavoured iced latte - Vanilla - 3.25",5.7,CASH,
28/11/2023 09:27,Chesterfield,Christopher Munoz,Regular Flavoured iced latte - Caramel - 2.75,2.75,CARD,8790993434474571
28/11/2023 09:29,Chesterfield,Elizabeth James,"Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured iced latte - Hazelnut - 3.25, Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured iced latte - Hazelnut - 2.75",11.3,CASH,
28/11/2023 09:32,Chesterfield,Marie Riggle,Large Latte - 2.45,2.45,CARD,1068960601917791
28/11/2023 09:34,Chesterfield,Don Thompson,"Large Latte - 2.45, Large Flavoured latte - Hazelnut - 2.85, Large Flavoured iced latte - Hazelnut - 3.25, Large Flat white - 2.45",11.0,CASH,
28/11/2023 09:36,Chesterfield,Carl Brookshire,"Regular Latte - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75",4.9,CASH,
28/11/2023 09:38,Chesterfield,Teresa Huber,"Large Flat white - 2.45, Large Flat white - 2.45",4.9,CASH,
28/11/2023 09:40,Chesterfield,John Davison,"Regular Flavoured iced latte - Caramel - 2.75, Regular Latte - 2.15, Regular Flavoured iced latte - Vanilla - 2.75, Large Flavoured latte - Hazelnut - 2.85, Large Latte - 2.45",12.95,CARD,2143120234615724
